epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,lr
1,0.565804,0.378069,0.321471,0.526492,0.288739,0.231473,0.00010000
1,0.565288,0.427084,0.371712,0.488304,0.571303,0.520465,0.00010000
2,0.370284,0.551585,0.493591,0.407638,0.645197,0.587548,0.00010000
3,0.269464,0.642017,0.584658,0.430189,0.452167,0.388645,0.00010000
4,0.244424,0.670338,0.612443,0.360457,0.729572,0.672270,0.00010000
5,0.230257,0.693599,0.635985,0.350401,0.729984,0.671357,0.00010000
6,0.228827,0.695719,0.638441,0.345876,0.712283,0.652310,0.00010000
7,0.216491,0.713047,0.655036,0.339835,0.718490,0.658363,0.00010000
8,0.219859,0.705647,0.648227,0.360295,0.699115,0.643582,0.00010000
9,0.211748,0.719249,0.662044,0.343442,0.752099,0.696727,0.00010000
10,0.207760,0.733070,0.675956,0.335249,0.710237,0.651715,0.00010000
11,0.203030,0.735477,0.678759,0.337745,0.766329,0.710220,0.00010000
12,0.200740,0.742996,0.685653,0.335543,0.764012,0.709173,0.00010000
13,0.199122,0.740982,0.683636,0.321118,0.772941,0.715587,0.00010000
14,0.191972,0.744154,0.686893,0.324807,0.773012,0.716012,0.00010000
15,0.190513,0.754831,0.697944,0.316883,0.777533,0.720113,0.00010000
16,0.190936,0.759312,0.702832,0.318496,0.762824,0.705861,0.00010000
17,0.189992,0.761057,0.704937,0.344939,0.740666,0.689833,0.00010000
18,0.189309,0.760694,0.704026,0.330159,0.724569,0.665084,0.00010000
19,0.183817,0.763880,0.707787,0.314716,0.787484,0.732453,0.00010000
20,0.182326,0.771668,0.715570,0.302290,0.794235,0.738321,0.00010000
